id,text,letter_sound_correspondences,usage_count,word_type,spelling_consistency,root_word_id,root_word_text
25,chúng,"[{""sounds"":[""tɕ""],""id"":4,""letters"":[""c"",""h""],""usageCount"":588},{""sounds"":[""u""],""id"":30,""letters"":[""u""],""usageCount"":1202},{""sounds"":[""∅""],""id"":29,""letters"":[""◌́""],""usageCount"":1935},{""sounds"":[""ŋ""],""id"":36,""letters"":[""n"",""g""],""usageCount"":1386}]",180,PRONOUN,,,
26,tôi,"[{""sounds"":[""t""],""id"":11,""letters"":[""t""],""usageCount"":1082},{""sounds"":[""o""],""id"":26,""letters"":[""ô""],""usageCount"":1126},{""sounds"":[""j""],""id"":12,""letters"":[""i""],""usageCount"":862}]",161,PRONOUN,,,
27,lại,"[{""sounds"":[""l""],""id"":27,""letters"":[""l""],""usageCount"":731},{""sounds"":[""a""],""id"":1,""letters"":[""a""],""usageCount"":3574},{""sounds"":[""∅""],""id"":33,""letters"":[""◌̣""],""usageCount"":1293},{""sounds"":[""j""],""id"":12,""letters"":[""i""],""usageCount"":862}]",152,,,,
28,đã,"[{""sounds"":[""ɗ""],""id"":32,""letters"":[""đ""],""usageCount"":916},{""sounds"":[""a""],""id"":1,""letters"":[""a""],""usageCount"":3574},{""sounds"":[""∅""],""id"":25,""letters"":[""◌̃""],""usageCount"":644}]",142,ADJECTIVE,,,
29,cả,"[{""sounds"":[""k""],""id"":6,""letters"":[""c""],""usageCount"":2245},{""sounds"":[""a""],""id"":1,""letters"":[""a""],""usageCount"":3574},{""sounds"":[""∅""],""id"":31,""letters"":[""◌̉""],""usageCount"":720}]",132,NOUN,,,
30,ở,"[{""sounds"":[""ə""],""id"":34,""letters"":[""ơ""],""usageCount"":861},{""sounds"":[""∅""],""id"":31,""letters"":[""◌̉""],""usageCount"":720}]",105,VERB,,,
31,chú,"[{""sounds"":[""tɕ""],""id"":4,""letters"":[""c"",""h""],""usageCount"":588},{""sounds"":[""u""],""id"":30,""letters"":[""u""],""usageCount"":1202},{""sounds"":[""∅""],""id"":29,""letters"":[""◌́""],""usageCount"":1935}]",145,NOUN,,,
32,làm,"[{""sounds"":[""l""],""id"":27,""letters"":[""l""],""usageCount"":731},{""sounds"":[""a""],""id"":1,""letters"":[""a""],""usageCount"":3574},{""sounds"":[""∅""],""id"":24,""letters"":[""◌̀""],""usageCount"":2252},{""sounds"":[""m""],""id"":17,""letters"":[""m""],""usageCount"":1292}]",138,VERB,,,
33,cùng,"[{""sounds"":[""k""],""id"":6,""letters"":[""c""],""usageCount"":2245},{""sounds"":[""u""],""id"":30,""letters"":[""u""],""usageCount"":1202},{""sounds"":[""∅""],""id"":24,""letters"":[""◌̀""],""usageCount"":2252},{""sounds"":[""ŋ""],""id"":36,""letters"":[""n"",""g""],""usageCount"":1386}]",131,ADVERB,,,
34,này,"[{""sounds"":[""n""],""id"":7,""letters"":[""n""],""usageCount"":1547},{""sounds"":[""a""],""id"":1,""letters"":[""a""],""usageCount"":3574},{""sounds"":[""∅""],""id"":24,""letters"":[""◌̀""],""usageCount"":2252},{""sounds"":[""j""],""id"":21,""letters"":[""y""],""usageCount"":506}]",124,,,,
35,thì,"[{""sounds"":[""tʰ""],""id"":38,""letters"":[""t"",""h""],""usageCount"":297},{""sounds"":[""i""],""id"":10,""letters"":[""i""],""usageCount"":1424},{""sounds"":[""∅""],""id"":24,""letters"":[""◌̀""],""usageCount"":2252}]",121,ADVERB,,,
36,một,"[{""sounds"":[""m""],""id"":17,""letters"":[""m""],""usageCount"":1292},{""sounds"":[""o""],""id"":26,""letters"":[""ô""],""usageCount"":1126},{""sounds"":[""∅""],""id"":33,""letters"":[""◌̣""],""usageCount"":1293},{""sounds"":[""t""],""id"":11,""letters"":[""t""],""usageCount"":1082}]",383,NUMBER,,,
37,trong,"[{""sounds"":[""tɕ""],""id"":39,""letters"":[""t"",""r""],""usageCount"":210},{""sounds"":[""ɔː""],""id"":5,""letters"":[""o""],""usageCount"":811},{""sounds"":[""ŋ""],""id"":36,""letters"":[""n"",""g""],""usageCount"":1386}]",124,PREPOSITION,,,
38,năm,"[{""sounds"":[""n""],""id"":7,""letters"":[""n""],""usageCount"":1547},{""sounds"":[""ă""],""id"":40,""letters"":[""ă""],""usageCount"":139},{""sounds"":[""m""],""id"":17,""letters"":[""m""],""usageCount"":1292}]",46,NUMBER,,,
39,nhưng,"[{""sounds"":[""ɲ""],""id"":2,""letters"":[""n"",""h""],""usageCount"":821},{""sounds"":[""ɯ""],""id"":42,""letters"":[""ư""],""usageCount"":752},{""sounds"":[""ŋ""],""id"":36,""letters"":[""n"",""g""],""usageCount"":1386}]",129,,,,
40,sáu,"[{""sounds"":[""s""],""id"":19,""letters"":[""s""],""usageCount"":349},{""sounds"":[""a""],""id"":1,""letters"":[""a""],""usageCount"":3574},{""sounds"":[""∅""],""id"":29,""letters"":[""◌́""],""usageCount"":1935},{""sounds"":[""u""],""id"":30,""letters"":[""u""],""usageCount"":1202}]",17,NUMBER,,,
41,đây,"[{""sounds"":[""ɗ""],""id"":32,""letters"":[""đ""],""usageCount"":916},{""sounds"":[""ɤ̆""],""id"":43,""letters"":[""â""],""usageCount"":568},{""sounds"":[""j""],""id"":21,""letters"":[""y""],""usageCount"":506}]",119,ADVERB,,,
42,lên,"[{""sounds"":[""l""],""id"":27,""letters"":[""l""],""usageCount"":731},{""sounds"":[""e""],""id"":44,""letters"":[""ê""],""usageCount"":200},{""sounds"":[""n""],""id"":7,""letters"":[""n""],""usageCount"":1547}]",114,VERB,,,
43,bảy,"[{""sounds"":[""ɓ""],""id"":15,""letters"":[""b""],""usageCount"":638},{""sounds"":[""a""],""id"":1,""letters"":[""a""],""usageCount"":3574},{""sounds"":[""∅""],""id"":31,""letters"":[""◌̉""],""usageCount"":720},{""sounds"":[""j""],""id"":21,""letters"":[""y""],""usageCount"":506}]",13,NUMBER,,,
44,những,"[{""sounds"":[""ɲ""],""id"":2,""letters"":[""n"",""h""],""usageCount"":821},{""sounds"":[""ɯ""],""id"":42,""letters"":[""ư""],""usageCount"":752},{""sounds"":[""∅""],""id"":25,""letters"":[""◌̃""],""usageCount"":644},{""sounds"":[""ŋ""],""id"":36,""letters"":[""n"",""g""],""usageCount"":1386}]",129,,,,
45,không,"[{""sounds"":[""x""],""id"":9,""letters"":[""k"",""h""],""usageCount"":468},{""sounds"":[""o""],""id"":26,""letters"":[""ô""],""usageCount"":1126},{""sounds"":[""ŋ""],""id"":36,""letters"":[""n"",""g""],""usageCount"":1386}]",330,,,,
46,tám,"[{""sounds"":[""t""],""id"":11,""letters"":[""t""],""usageCount"":1082},{""sounds"":[""a""],""id"":1,""letters"":[""a""],""usageCount"":3574},{""sounds"":[""∅""],""id"":29,""letters"":[""◌́""],""usageCount"":1935},{""sounds"":[""m""],""id"":17,""letters"":[""m""],""usageCount"":1292}]",10,NUMBER,,,
47,phải,"[{""sounds"":[""f""],""id"":45,""letters"":[""p"",""h""],""usageCount"":119},{""sounds"":[""a""],""id"":1,""letters"":[""a""],""usageCount"":3574},{""sounds"":[""∅""],""id"":31,""letters"":[""◌̉""],""usageCount"":720},{""sounds"":[""j""],""id"":12,""letters"":[""i""],""usageCount"":862}]",119,,,,
48,chín,"[{""sounds"":[""tɕ""],""id"":4,""letters"":[""c"",""h""],""usageCount"":588},{""sounds"":[""i""],""id"":10,""letters"":[""i""],""usageCount"":1424},{""sounds"":[""∅""],""id"":29,""letters"":[""◌́""],""usageCount"":1935},{""sounds"":[""n""],""id"":7,""letters"":[""n""],""usageCount"":1547}]",12,NUMBER,,,
49,đang,"[{""sounds"":[""ɗ""],""id"":32,""letters"":[""đ""],""usageCount"":916},{""sounds"":[""a""],""id"":1,""letters"":[""a""],""usageCount"":3574},{""sounds"":[""ŋ""],""id"":36,""letters"":[""n"",""g""],""usageCount"":1386}]",112,,,,
50,mười,"[{""sounds"":[""m""],""id"":17,""letters"":[""m""],""usageCount"":1292},{""sounds"":[""ɯ""],""id"":42,""letters"":[""ư""],""usageCount"":752},{""sounds"":[""∅""],""id"":24,""letters"":[""◌̀""],""usageCount"":2252},{""sounds"":[""j""],""id"":12,""letters"":[""i""],""usageCount"":862}]",13,NUMBER,,,
51,cũng,"[{""sounds"":[""k""],""id"":6,""letters"":[""c""],""usageCount"":2245},{""sounds"":[""u""],""id"":30,""letters"":[""u""],""usageCount"":1202},{""sounds"":[""∅""],""id"":25,""letters"":[""◌̃""],""usageCount"":644},{""sounds"":[""ŋ""],""id"":36,""letters"":[""n"",""g""],""usageCount"":1386}]",108,ADVERB,,,
52,cá,"[{""sounds"":[""k""],""id"":6,""letters"":[""c""],""usageCount"":2245},{""sounds"":[""a""],""id"":1,""letters"":[""a""],""usageCount"":3574},{""sounds"":[""∅""],""id"":29,""letters"":[""◌́""],""usageCount"":1935}]",104,NOUN,,,
53,đó,"[{""sounds"":[""ɗ""],""id"":32,""letters"":[""đ""],""usageCount"":916},{""sounds"":[""ɔ""],""id"":28,""letters"":[""o""],""usageCount"":588},{""sounds"":[""∅""],""id"":29,""letters"":[""◌́""],""usageCount"":1935}]",98,ADVERB,,,
54,các,"[{""sounds"":[""k""],""id"":6,""letters"":[""c""],""usageCount"":2245},{""sounds"":[""a""],""id"":1,""letters"":[""a""],""usageCount"":3574},{""sounds"":[""∅""],""id"":29,""letters"":[""◌́""],""usageCount"":1935},{""sounds"":[""k""],""id"":6,""letters"":[""c""],""usageCount"":2245}]",93,,,,
55,ăn,"[{""sounds"":[""ă""],""id"":40,""letters"":[""ă""],""usageCount"":139},{""sounds"":[""n""],""id"":7,""letters"":[""n""],""usageCount"":1547}]",93,VERB,,,
56,cậu,"[{""sounds"":[""k""],""id"":6,""letters"":[""c""],""usageCount"":2245},{""sounds"":[""ɤ̆""],""id"":43,""letters"":[""â""],""usageCount"":568},{""sounds"":[""∅""],""id"":33,""letters"":[""◌̣""],""usageCount"":1293},{""sounds"":[""u""],""id"":30,""letters"":[""u""],""usageCount"":1202}]",102,NOUN,,,
57,như,"[{""sounds"":[""ɲ""],""id"":2,""letters"":[""n"",""h""],""usageCount"":821},{""sounds"":[""ɯ""],""id"":42,""letters"":[""ư""],""usageCount"":752}]",92,ADJECTIVE,,,
58,vào,"[{""sounds"":[""v""],""id"":23,""letters"":[""v""],""usageCount"":683},{""sounds"":[""a""],""id"":3,""letters"":[""à""],""usageCount"":601},{""sounds"":[""ɔː""],""id"":5,""letters"":[""o""],""usageCount"":811}]",89,VERB,,,
