id,content_type,content_license,attribution_url,title,file_size,checksum_md5,cid,download_url,image_format
36,image/jpg,,,Tớ đi học_ch-11,445116,6ef3c64397fdef8d5fa2fa8ce8682be4,,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-VIE/images/36_r1.jpg,JPG
37,image/jpg,,,Tớ đi học_ch-12,504339,595aae5fd823e9f8986e622ab111d1a5,,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-VIE/images/37_r1.jpg,JPG
38,image/jpg,,,Tớ đi học_ch-13,502610,c8810ff7484a7565374bdb76e5e8abed,,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-VIE/images/38_r1.jpg,JPG
39,image/jpg,,,Chiếc bánh to_cover,109985,236f66351f4c4a3d4d90b967ab82e9ad,9579a754572d791d25b86617d7f91d0e943014ac,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-VIE/images/236f66351f4c4a3d4d90b967ab82e9ad.jpg,JPG
40,image/jpg,,,Chiếc bánh to_ch-1,109985,236f66351f4c4a3d4d90b967ab82e9ad,,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-VIE/images/40_r1.jpg,JPG
41,image/jpg,,,Chiếc bánh to_ch-2,178589,17003f1bee89afbc489136d0208b8ca6,993c50ebbaef1a73f14e4e91db17eb254f53e82f,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-VIE/images/17003f1bee89afbc489136d0208b8ca6.jpg,JPG
42,image/jpg,,,Chiếc bánh to_ch-3,163336,7683bcce08ad20fd302cafdeabee883a,9ebefd162ff537398d8105cf36dd4119c5ee1f88,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-VIE/images/7683bcce08ad20fd302cafdeabee883a.jpg,JPG
43,image/jpg,,,Chiếc bánh to_ch-4,190101,77a2b3fd344d5b114bb92505ffcdf82e,53fa4fb9cfc6b0aa653b63bba537269447689fd0,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-VIE/images/77a2b3fd344d5b114bb92505ffcdf82e.jpg,JPG
44,image/jpg,,,Chiếc bánh to_ch-5,210021,72525dab4c69299ed73709ad0cdf67cc,423d205eff6ab5f4450c9c3a3bff60c80abce8fa,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-VIE/images/72525dab4c69299ed73709ad0cdf67cc.jpg,JPG
45,image/jpg,,,Chiếc bánh to_ch-6,201137,103698539ce7e6691da0fc2c478d4d86,f9acff81c59b6823e6534d679f0ac54e4c538df7,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-VIE/images/103698539ce7e6691da0fc2c478d4d86.jpg,JPG
46,image/jpg,,,Chiếc bánh to_ch-7,219387,c5e9ef0aea85f602e5d86dae6d9ab0a2,00360dfa8362102989211b58d42b9ac9193617ba,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-VIE/images/c5e9ef0aea85f602e5d86dae6d9ab0a2.jpg,JPG
47,image/jpg,,,Chiếc bánh to_ch-8,212322,1e453ad0cf4e10d2dca9d951bf4d6dcc,93ff38b585b9d7fc53382c5ed94639f477f8838e,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-VIE/images/1e453ad0cf4e10d2dca9d951bf4d6dcc.jpg,JPG
48,image/jpg,,,Chiếc bánh to_ch-9,237119,cc854e400d9f1c80d50ea64d375dd680,5da3a5e3ad1d3be095d6c683e725d60efea3ba74,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-VIE/images/cc854e400d9f1c80d50ea64d375dd680.jpg,JPG
49,image/jpg,,,Chiếc bánh to_ch-10,284664,a158408dfbb57a580169c8b7ac1ad095,ba8e0672b66d196509a674d824a5e646de9fe33b,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-VIE/images/a158408dfbb57a580169c8b7ac1ad095.jpg,JPG
50,image/jpg,,,Chiếc bánh to_ch-11,185879,ebdef09f152307f6ce88eb1f5ec81edb,7f181c506d23197ed426e3a4870235d56bcd7669,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-VIE/images/ebdef09f152307f6ce88eb1f5ec81edb.jpg,JPG
51,image/jpg,,,Chiếc bánh to_ch-12,325279,52282ca5d65094a525dff59f24db73d3,eb2749593179e6d575305f9124d14993562e3c51,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-VIE/images/52282ca5d65094a525dff59f24db73d3.jpg,JPG
52,image/jpg,,,Chiếc bánh to_ch-13,253340,d36a9a7acc79b17eca3b2b59f431e660,bb05ebaa3d273f63145b6d116638588eefc350a1,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-VIE/images/d36a9a7acc79b17eca3b2b59f431e660.jpg,JPG
53,image/jpg,,,Chiếc bánh to_ch-14,138757,49e186256b8955970a3870a4621a01a4,a6636abdf23cd513c46a24fc0ad9f31f2adadc26,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-VIE/images/49e186256b8955970a3870a4621a01a4.jpg,JPG
