id,text,letter_sound_correspondences,usage_count,word_type,spelling_consistency,root_word_id,root_word_text
20,lahat,"[{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438}]",39,,PERFECT,,
21,nakita,"[{""sounds"":[""n""],""id"":5,""letters"":[""n""],""usageCount"":2973},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""k""],""id"":17,""letters"":[""k""],""usageCount"":1343},{""sounds"":[""iː""],""id"":8,""letters"":[""i""],""usageCount"":1467},{""sounds"":[""t""],""id"":7,""letters"":[""t""],""usageCount"":1522},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438}]",35,VERB,,106.0,makita
22,para,"[{""sounds"":[""p""],""id"":10,""letters"":[""p""],""usageCount"":844},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""r""],""id"":12,""letters"":[""r""],""usageCount"":536},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438}]",87,,PERFECT,,
23,siya,"[{""sounds"":[""ʃ""],""id"":24,""letters"":[""s"",""i"",""y""],""usageCount"":173},{""sounds"":[""ɑː""],""id"":27,""letters"":[""a""],""usageCount"":1299}]",140,PRONOUN,,,
24,ko,"[{""sounds"":[""k""],""id"":17,""letters"":[""k""],""usageCount"":1343},{""sounds"":[""ɔ""],""id"":9,""letters"":[""o""],""usageCount"":1500}]",111,PRONOUN,PERFECT,,
25,tigre,"[{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438}]",7,NOUN,PERFECT,,
26,araw,"[{""sounds"":[""ɑː""],""id"":27,""letters"":[""a""],""usageCount"":1299},{""sounds"":[""r""],""id"":12,""letters"":[""r""],""usageCount"":536},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""w""],""id"":19,""letters"":[""w""],""usageCount"":278}]",71,NOUN,PERFECT,,
27,damit,"[{""sounds"":[""d""],""id"":15,""letters"":[""d""],""usageCount"":464},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""m""],""id"":18,""letters"":[""m""],""usageCount"":880},{""sounds"":[""iː""],""id"":8,""letters"":[""i""],""usageCount"":1467},{""sounds"":[""t""],""id"":7,""letters"":[""t""],""usageCount"":1522}]",14,NOUN,,,
28,tumutulong,"[{""sounds"":[""t""],""id"":7,""letters"":[""t""],""usageCount"":1522},{""sounds"":[""m""],""id"":18,""letters"":[""m""],""usageCount"":880},{""sounds"":[""t""],""id"":7,""letters"":[""t""],""usageCount"":1522},{""sounds"":[""uː""],""id"":33,""letters"":[""u""],""usageCount"":223},{""sounds"":[""l""],""id"":16,""letters"":[""l""],""usageCount"":997},{""sounds"":[""ɔ""],""id"":9,""letters"":[""o""],""usageCount"":1500},{""sounds"":[""ŋ""],""id"":23,""letters"":[""n"",""g""],""usageCount"":2652}]",9,,,44.0,tumulong
29,apat,"[{""sounds"":[""ɑː""],""id"":27,""letters"":[""a""],""usageCount"":1299},{""sounds"":[""p""],""id"":10,""letters"":[""p""],""usageCount"":844},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":16438},{""sounds"":[""t""],""id"":7,""letters"":[""t""],""usageCount"":1522}]",7,NUMBER,,,
