id,glyph,unicode_version,unicode_emoji_version,word_ids,word_texts
134,📦,6.0,1.0,[313],"[""kahon""]"
135,🍳,6.0,1.0,"[280,409,451]","[""lutuan"",""pagkain"",""luto""]"
136,🙏,6.0,1.0,"[325,316]","[""humingi"",""nais""]"
137,🎤,6.0,1.0,[324],"[""kumanta""]"
138,🎶,6.0,1.0,[324],"[""kumanta""]"
139,🎙️,7.0,1.0,[324],"[""kumanta""]"
140,👵,6.0,1.0,[51],"[""lola""]"
141,🛫,7.0,1.0,"[268,377]","[""umalis"",""lumipad""]"
142,🗺️,7.0,1.0,[],[]
143,❄️,1.1,1.0,"[54,362]","[""malamig"",""napakalamig""]"
144,🏞️,7.0,1.0,"[446,326]","[""bangin"",""sapa""]"
145,🤤,9.0,3.0,[328],"[""sarap""]"
146,😋,6.0,1.0,"[77,328]","[""nagugutom"",""sarap""]"
147,💎,6.0,1.0,[],[]
148,😯,6.1,1.0,[337],"[""magulat""]"
149,🛍️,7.0,1.0,[340],"[""bag""]"
150,🐢,6.0,1.0,"[341,445]","[""mabagal"",""pawikan""]"
151,🐌,6.0,1.0,[341],"[""mabagal""]"
152,🥀,9.0,3.0,[],[]
153,🌼,6.0,1.0,[345],"[""bulaklak""]"
154,💐,6.0,1.0,[],[]
155,🌻,6.0,1.0,[345],"[""bulaklak""]"
156,🌺,6.0,1.0,[345],"[""bulaklak""]"
157,🌸,6.0,1.0,[345],"[""bulaklak""]"
158,🌷,6.0,1.0,[345],"[""bulaklak""]"
159,👁️,7.0,1.0,[347],"[""mata""]"
160,🙄,8.0,1.0,[347],"[""mata""]"
161,🏠,6.0,1.0,[350],"[""bahay""]"
162,🏘️,7.0,1.0,[350],"[""bahay""]"
163,🏡,6.0,1.0,[350],"[""bahay""]"
164,🏆,6.0,1.0,[354],"[""magaling""]"
165,👧,6.0,1.0,[357],"[""bata""]"
166,❓,6.0,1.0,[358],"[""tanong""]"
167,🤔,8.0,1.0,[358],"[""tanong""]"
168,🏂,6.0,1.0,[362],"[""napakalamig""]"
169,⚽,5.2,1.0,[363],"[""bola""]"
170,🍭,6.0,1.0,[367],"[""kulay""]"
171,🌈,6.0,1.0,[367],"[""kulay""]"
172,💅,6.0,1.0,[367],"[""kulay""]"
173,💄,6.0,1.0,[367],"[""kulay""]"
174,👍,6.0,1.0,[371],"[""mabuti""]"
175,👞,6.0,1.0,[376],"[""sapatos""]"
176,👠,6.0,1.0,[376],"[""sapatos""]"
177,🦇,9.0,3.0,[377],"[""lumipad""]"
178,🌅,6.0,1.0,"[436,382,396]","[""gabi"",""silang"",""dagat""]"
179,🌄,6.0,1.0,[382],"[""silang""]"
180,🍣,6.0,1.0,"[451,107,394]","[""luto"",""isda"",""tuna""]"
181,🚢,6.0,1.0,[396],"[""dagat""]"
