id,content_type,content_license,attribution_url,title,file_size,checksum_md5,cid,download_url,image_format
26,image/jpg,,,storybook-3-ch-3,71209,057b0fc371a41d488781f371b83a8505,a8920e4ca7f24a63d0f535d4ee389bec72813127,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-TGL/images/26_r1.jpg,JPG
27,image/jpg,,,storybook-3-ch-4,87117,2399f1cc4e599f03146824e54d4ee58e,55499b43bceb1606335d0d7e79d535bbc7d20ff0,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-TGL/images/27_r1.jpg,JPG
28,image/jpg,,,storybook-3-ch-5,71271,f5533cd2f3e28ec92df482fd5e4e393f,d6a70f65346c4dedaa2495bf64523a4449f8c859,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-TGL/images/28_r1.jpg,JPG
29,image/jpg,,,storybook-3-ch-6,71812,ff102fd157606899114e8e2477b34b55,a118413f79edd4979ec9054533f7bd1a6150b4d4,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-TGL/images/29_r2.jpg,JPG
30,image/jpg,,,storybook-3-ch-7,43098,265104c1f736fde7539172c40409e188,8d63119cfe35dc73b142615fdc4e3cbb91c4fb07,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-TGL/images/30_r1.jpg,JPG
31,image/jpg,,,storybook-3-ch-8,97427,bda71a15d0e3ee5afbca86468bebd280,e10e0293c47149f82f1dbcff839ed7566e2f254c,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-TGL/images/31_r2.jpg,JPG
32,image/jpg,,,storybook-3-ch-9,80375,ccbf650d902a7895706c89a95303cce3,661a1f06a37d78dd1a7ba7e79afd4364672621fe,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-TGL/images/32_r1.jpg,JPG
33,image/jpg,,,storybook-3-ch-10,82161,292984e3a80691a4c17e16d54e4cde99,342c15c98e8f09f96ae5954acb5ee6bf9260d86b,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-TGL/images/33_r1.jpg,JPG
34,image/jpg,,,storybook-3-ch-11,71805,ea4cc7b7658343d397904f17f73080fe,a9f6ee4225cbfd86e8d39e61a2f78138c577e29e,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-TGL/images/34_r1.jpg,JPG
35,image/jpg,,,storybook-3-ch-12,70651,01e350003724a59f753e70a5fd099f21,d5ebcbf2ba73bf2b3773d89ffe29b9767f791e33,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-TGL/images/35_r1.jpg,JPG
36,image/png,,,storybook-4-cover,805186,4a2cbed1542797d57ef6122723fb0593,764c408d07fc9b79b3e15b166f3830f6f49569db,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-TGL/images/36_r2.png,PNG
37,image/jpg,,,storybook-4-ch-1,12691,06ebd14fd63f19ae726118aaed411d96,eb745da8168a38eabd6780f9a21c12a7bf2a7028,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-TGL/images/37_r1.jpg,JPG
