id,text,letter_sound_correspondences,usage_count,word_type,spelling_consistency,root_word_id,root_word_text
25,सात,"[{""sounds"":[""s""],""id"":5,""letters"":[""स""],""usageCount"":1336},{""sounds"":[""aː""],""id"":10,""letters"":[""ा""],""usageCount"":3039},{""sounds"":[""t""],""id"":9,""letters"":[""त""],""usageCount"":1140}]",6,NUMBER,PERFECT,,
26,है,"[{""sounds"":[""ɦ""],""id"":1,""letters"":[""ह""],""usageCount"":2914},{""sounds"":[""ɛː""],""id"":2,""letters"":[""ै""],""usageCount"":1282}]",639,VERB,,,
27,रहते,"[{""sounds"":[""ɾ"",""ə""],""id"":35,""letters"":[""र""],""usageCount"":338},{""sounds"":[""ɦ"",""ə""],""id"":34,""letters"":[""ह""],""usageCount"":434},{""sounds"":[""t""],""id"":9,""letters"":[""त""],""usageCount"":1140},{""sounds"":[""eː""],""id"":4,""letters"":[""े""],""usageCount"":3806}]",26,VERB,,,
28,बाल,"[{""sounds"":[""b""],""id"":38,""letters"":[""ब""],""usageCount"":569},{""sounds"":[""aː""],""id"":10,""letters"":[""ा""],""usageCount"":3039},{""sounds"":[""l""],""id"":39,""letters"":[""ल""],""usageCount"":685}]",3,NOUN,PERFECT,,
29,तरह,"[{""sounds"":[""t"",""ə""],""id"":31,""letters"":[""त""],""usageCount"":178},{""sounds"":[""ɾ""],""id"":24,""letters"":[""र""],""usageCount"":1768},{""sounds"":[""ɦ"",""ə""],""id"":34,""letters"":[""ह""],""usageCount"":434}]",77,NOUN,PHONEMIC,,
30,आठ,"[{""sounds"":[""aː""],""id"":66,""letters"":[""आ""],""usageCount"":256},{""sounds"":[""ʈʰ""],""id"":58,""letters"":[""ठ""],""usageCount"":43}]",4,NUMBER,PERFECT,,
31,नौ,"[{""sounds"":[""n""],""id"":3,""letters"":[""न""],""usageCount"":1265},{""sounds"":[""ɔː""],""id"":40,""letters"":[""ौ""],""usageCount"":36}]",10,NUMBER,PERFECT,,
32,वह,"[{""sounds"":[""ʋ"",""ə""],""id"":59,""letters"":[""व""],""usageCount"":253},{""sounds"":[""ɦ""],""id"":1,""letters"":[""ह""],""usageCount"":2914}]",223,PRONOUN,PHONEMIC,,
33,मैं,"[{""sounds"":[""m""],""id"":11,""letters"":[""म""],""usageCount"":1256},{""sounds"":[""ɛː""],""id"":2,""letters"":[""ै""],""usageCount"":1282}]",177,VERB,,,
34,नहीं,"[{""sounds"":[""n"",""ə""],""id"":22,""letters"":[""न""],""usageCount"":331},{""sounds"":[""ɦ""],""id"":1,""letters"":[""ह""],""usageCount"":2914},{""sounds"":[""iː""],""id"":16,""letters"":[""ी""],""usageCount"":2164}]",246,ADVERB,HIGHLY_PHONEMIC,,
35,दस,"[{""sounds"":[""d"",""ə""],""id"":71,""letters"":[""द""],""usageCount"":72},{""sounds"":[""s""],""id"":5,""letters"":[""स""],""usageCount"":1336}]",5,NUMBER,PHONEMIC,,
36,राजा,"[{""sounds"":[""ɾ""],""id"":24,""letters"":[""र""],""usageCount"":1768},{""sounds"":[""aː""],""id"":10,""letters"":[""ा""],""usageCount"":3039},{""sounds"":[""dʒ""],""id"":20,""letters"":[""ज""],""usageCount"":527},{""sounds"":[""aː""],""id"":10,""letters"":[""ा""],""usageCount"":3039}]",15,NOUN,PERFECT,,
37,ग्यारह,"[{""sounds"":[""g""],""id"":80,""letters"":[""ग"",""्""],""usageCount"":0},{""sounds"":[""j""],""id"":56,""letters"":[""य""],""usageCount"":503},{""sounds"":[""aː""],""id"":10,""letters"":[""ा""],""usageCount"":3039},{""sounds"":[""ɾ"",""ə""],""id"":35,""letters"":[""र""],""usageCount"":338},{""sounds"":[""ɦ""],""id"":1,""letters"":[""ह""],""usageCount"":2914}]",0,NUMBER,HIGHLY_PHONEMIC,,
38,देखो,"[{""sounds"":[""d""],""id"":41,""letters"":[""द""],""usageCount"":482},{""sounds"":[""eː""],""id"":4,""letters"":[""े""],""usageCount"":3806},{""sounds"":[""kʰ""],""id"":15,""letters"":[""ख""],""usageCount"":199},{""sounds"":[""oː""],""id"":21,""letters"":[""ो""],""usageCount"":1280}]",24,VERB,PERFECT,,
39,ची,"[{""sounds"":[""t"",""ʃ""],""id"":36,""letters"":[""च""],""usageCount"":170},{""sounds"":[""iː""],""id"":16,""letters"":[""ी""],""usageCount"":2164}]",3,,PERFECT,,
40,हो,"[{""sounds"":[""ɦ""],""id"":1,""letters"":[""ह""],""usageCount"":2914},{""sounds"":[""oː""],""id"":21,""letters"":[""ो""],""usageCount"":1280}]",160,VERB,,,
41,टप,"[{""sounds"":[""ʈ"",""ə""],""id"":78,""letters"":[""ट""],""usageCount"":12},{""sounds"":[""p""],""id"":18,""letters"":[""प""],""usageCount"":400}]",10,VERB,PHONEMIC,,
42,धिन,"[{""sounds"":[""dʱ""],""id"":12,""letters"":[""ध""],""usageCount"":19},{""sounds"":[""ɪ""],""id"":19,""letters"":[""ि""],""usageCount"":757},{""sounds"":[""n""],""id"":3,""letters"":[""न""],""usageCount"":1265}]",5,ADJECTIVE,HIGHLY_NON_PHONEMIC,,
43,बारह,"[{""sounds"":[""b""],""id"":38,""letters"":[""ब""],""usageCount"":569},{""sounds"":[""aː""],""id"":10,""letters"":[""ा""],""usageCount"":3039},{""sounds"":[""ɾ"",""ə""],""id"":35,""letters"":[""र""],""usageCount"":338},{""sounds"":[""ɦ""],""id"":1,""letters"":[""ह""],""usageCount"":2914}]",1,NUMBER,PERFECT,,
44,हुन्छ,"[{""sounds"":[""ɦ""],""id"":1,""letters"":[""ह""],""usageCount"":2914},{""sounds"":[""ʊ""],""id"":7,""letters"":[""ु""],""usageCount"":432},{""sounds"":[""n""],""id"":3,""letters"":[""न""],""usageCount"":1265},{""sounds"":[""t"",""ʃʰ""],""id"":8,""letters"":[""छ""],""usageCount"":165}]",0,,PERFECT,,
45,छ,"[{""sounds"":[""t"",""ʃʰ""],""id"":8,""letters"":[""छ""],""usageCount"":165}]",1,,,,
46,त,"[{""sounds"":[""t"",""ə""],""id"":31,""letters"":[""त""],""usageCount"":178}]",3,,,,
47,हाथी,"[{""sounds"":[""ɦ""],""id"":1,""letters"":[""ह""],""usageCount"":2914},{""sounds"":[""aː""],""id"":10,""letters"":[""ा""],""usageCount"":3039},{""sounds"":[""tʰ""],""id"":17,""letters"":[""थ""],""usageCount"":467},{""sounds"":[""iː""],""id"":16,""letters"":[""ी""],""usageCount"":2164}]",4,NOUN,PERFECT,,
48,मधुमक्खी,"[{""sounds"":[""m""],""id"":11,""letters"":[""म""],""usageCount"":1256},{""sounds"":[""dʱ""],""id"":12,""letters"":[""ध""],""usageCount"":19},{""sounds"":[""uː""],""id"":13,""letters"":[""ु""],""usageCount"":199},{""sounds"":[""m""],""id"":11,""letters"":[""म""],""usageCount"":1256},{""sounds"":[""k""],""id"":14,""letters"":[""क""],""usageCount"":2744},{""sounds"":[""kʰ""],""id"":15,""letters"":[""ख""],""usageCount"":199},{""sounds"":[""iː""],""id"":16,""letters"":[""ी""],""usageCount"":2164}]",9,NOUN,HIGHLY_PHONEMIC,,
49,पनि,"[{""sounds"":[""p"",""ə""],""id"":25,""letters"":[""प""],""usageCount"":505},{""sounds"":[""n""],""id"":3,""letters"":[""न""],""usageCount"":1265},{""sounds"":[""ɪ""],""id"":19,""letters"":[""ि""],""usageCount"":757}]",1,NOUN,,,
50,मज्जा,"[{""sounds"":[""m""],""id"":11,""letters"":[""म""],""usageCount"":1256},{""sounds"":[""dʒ""],""id"":20,""letters"":[""ज""],""usageCount"":527},{""sounds"":[""aː""],""id"":10,""letters"":[""ा""],""usageCount"":3039}]",0,NOUN,,,
51,रात,"[{""sounds"":[""ɾ""],""id"":24,""letters"":[""र""],""usageCount"":1768},{""sounds"":[""aː""],""id"":10,""letters"":[""ा""],""usageCount"":3039},{""sounds"":[""t""],""id"":9,""letters"":[""त""],""usageCount"":1140}]",24,NOUN,PERFECT,,
52,की,"[{""sounds"":[""k""],""id"":14,""letters"":[""क""],""usageCount"":2744},{""sounds"":[""iː""],""id"":16,""letters"":[""ी""],""usageCount"":2164}]",394,PREPOSITION,PERFECT,,
53,हूँ,"[{""sounds"":[""ɦ""],""id"":1,""letters"":[""ह""],""usageCount"":2914},{""sounds"":[""uː""],""id"":28,""letters"":[""ू""],""usageCount"":345},{""sounds"":[""◌̃""],""id"":29,""letters"":[""ँ""],""usageCount"":285}]",114,VERB,,,
54,बनाता,"[{""sounds"":[""b"",""ə""],""id"":30,""letters"":[""ब""],""usageCount"":280},{""sounds"":[""n""],""id"":3,""letters"":[""न""],""usageCount"":1265},{""sounds"":[""aː""],""id"":10,""letters"":[""ा""],""usageCount"":3039},{""sounds"":[""t""],""id"":9,""letters"":[""त""],""usageCount"":1140},{""sounds"":[""aː""],""id"":10,""letters"":[""ा""],""usageCount"":3039}]",9,VERB,PERFECT,,
55,बना,"[{""sounds"":[""b"",""ə""],""id"":30,""letters"":[""ब""],""usageCount"":280},{""sounds"":[""n""],""id"":3,""letters"":[""न""],""usageCount"":1265},{""sounds"":[""aː""],""id"":10,""letters"":[""ा""],""usageCount"":3039}]",20,VERB,PERFECT,,
56,तस्वीर,"[{""sounds"":[""t"",""ə""],""id"":31,""letters"":[""त""],""usageCount"":178},{""sounds"":[""s""],""id"":5,""letters"":[""स""],""usageCount"":1336},{""sounds"":[""ʋ""],""id"":32,""letters"":[""व""],""usageCount"":339},{""sounds"":[""iː""],""id"":16,""letters"":[""ी""],""usageCount"":2164},{""sounds"":[""ɾ""],""id"":24,""letters"":[""र""],""usageCount"":1768}]",5,NOUN,,,
