id,content_type,content_license,attribution_url,title,file_size,checksum_md5,checksum_github,download_url,image_format,dominant_color
1300,image/jpg,,,सोना बड़ी सयानी_ch-6,50185,661753593845167abe38475d36543910,bd41efe43a014d752f5eb648e39042d9a07d1837,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/661753593845167abe38475d36543910.jpg,JPG,"208,213,174"
1301,image/jpg,,,सोना बड़ी सयानी_ch-7,35915,28932c0c9bfa52ff10732ccb5fc93594,171f476d37c9b91b2217398322db09ae69146cb9,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/28932c0c9bfa52ff10732ccb5fc93594.jpg,JPG,"75,81,124"
1302,image/jpg,,,सोना बड़ी सयानी_ch-8,47243,cfaf5573c044382f08174d49d32fe13f,a53ad56bb1bfda99dbbd30e05409726f5ee7b079,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/cfaf5573c044382f08174d49d32fe13f.jpg,JPG,"215,101,87"
1303,image/jpg,,,सोना बड़ी सयानी_ch-9,42257,8ffc18037a06a72c20e066f0bae51f1f,a2bfe809cbf136e8107ceaac3f55527fd52ec977,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/8ffc18037a06a72c20e066f0bae51f1f.jpg,JPG,"202,190,184"
1304,image/jpg,,,सोना बड़ी सयानी_ch-10,59291,4e6196f82f08e7e8ae0604c173192a64,f4ca555b78ed2c11b5fd46b4a46932c724679cb0,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/4e6196f82f08e7e8ae0604c173192a64.jpg,JPG,"75,49,109"
1305,image/jpg,,,सोना बड़ी सयानी_ch-11,62546,d4798bc25e1e6e3970fdf5f94033849f,d105bcb17773ee37be2ee033ce5cc92b4ff3a12a,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/d4798bc25e1e6e3970fdf5f94033849f.jpg,JPG,"235,206,146"
1306,image/jpg,,,सोना बड़ी सयानी_ch-12,44932,d43272a4e798c6be83173261c7ea214e,57c50be946b71332d1919cda8d6a56c1e812e59f,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/d43272a4e798c6be83173261c7ea214e.jpg,JPG,"78,69,113"
1307,image/jpg,,,सोना बड़ी सयानी_ch-13,43859,01943de7e174d497e405a0bbefb64cd9,ca4081d8fc4dc625db3343c84de6633ecf45850d,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/01943de7e174d497e405a0bbefb64cd9.jpg,JPG,"246,228,200"
1308,image/jpg,,,सोना बड़ी सयानी_ch-14,52366,06b94234e12c16d054e42a20c0550d4b,082ff2108565d8b931a65a668b054135b3c0c523,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/06b94234e12c16d054e42a20c0550d4b.jpg,JPG,"220,174,118"
1309,image/png,,,सोना बड़ी सयानी_ch-15,18676,3fd8d3525129144a89d777226915cc88,9985f4530ee7e24f7ca3b31b84855c7ef676d9f9,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/3fd8d3525129144a89d777226915cc88.png,PNG,"4,4,4"
1310,image/png,,,सोना बड़ी सयानी_ch-16,18676,3fd8d3525129144a89d777226915cc88,9985f4530ee7e24f7ca3b31b84855c7ef676d9f9,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/3fd8d3525129144a89d777226915cc88.png,PNG,"4,4,4"
1311,image/png,,,सोना बड़ी सयानी_ch-17,18676,3fd8d3525129144a89d777226915cc88,9985f4530ee7e24f7ca3b31b84855c7ef676d9f9,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/3fd8d3525129144a89d777226915cc88.png,PNG,"4,4,4"
1312,image/jpg,,,सोना की नाक बड़ी तेज_cover,65309,c3ddc1ad8ded36cea71b23d3338dca11,fe5a88c73b131df3639e106d7dce86d48d37b8c8,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/c3ddc1ad8ded36cea71b23d3338dca11.jpg,JPG,"245,238,229"
1313,image/jpg,,,सोना की नाक बड़ी तेज_ch-1,65309,c3ddc1ad8ded36cea71b23d3338dca11,fe5a88c73b131df3639e106d7dce86d48d37b8c8,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/c3ddc1ad8ded36cea71b23d3338dca11.jpg,JPG,"245,238,229"
1314,image/jpg,,,सोना की नाक बड़ी तेज_ch-2,68241,bcae66e1454ee06290987d8d0d538d73,9cd80871c9fc500695155d507c3edf21ac15c539,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/bcae66e1454ee06290987d8d0d538d73.jpg,JPG,"249,248,241"
1315,image/jpg,,,सोना की नाक बड़ी तेज_ch-3,70745,7e52f0d6e8472dcc39c20cd97d9efc41,76158062de47d410cefa0bf258eac541157afec8,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/7e52f0d6e8472dcc39c20cd97d9efc41.jpg,JPG,"245,239,232"
1316,image/jpg,,,सोना की नाक बड़ी तेज_ch-4,57177,54cc84e1b3f07dbaa8928e84129af489,815328f8821f571d3572359d8823a0df021e1661,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/54cc84e1b3f07dbaa8928e84129af489.jpg,JPG,"247,242,232"
1317,image/jpg,,,सोना की नाक बड़ी तेज_ch-5,79044,05ed952bbeb88d8c581f33e56f069f76,1ba2321e82c9dcf38bd7f9f17be0a16ad7a305d7,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/05ed952bbeb88d8c581f33e56f069f76.jpg,JPG,"77,79,59"
1318,image/jpg,,,सोना की नाक बड़ी तेज_ch-6,59769,e7afafee632c9eead30f3ae8ba4ff5fa,c3ff76bba62f53de39ddf950da333f946ea591b5,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/e7afafee632c9eead30f3ae8ba4ff5fa.jpg,JPG,"247,239,233"
1319,image/jpg,,,सोना की नाक बड़ी तेज_ch-7,76441,11acfdf63273e91960d076e5d54bcdab,9ea4a0d3d7b59a0db14a2eb76e0209a4945a187c,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/11acfdf63273e91960d076e5d54bcdab.jpg,JPG,"66,64,58"
1320,image/jpg,,,सोना की नाक बड़ी तेज_ch-8,72406,18aa876c9fd58e081d0d81e45964a7f3,61ca89b12b638a045c257a130c0f257198c2221c,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/18aa876c9fd58e081d0d81e45964a7f3.jpg,JPG,"246,238,236"
1321,image/jpg,,,सोना की नाक बड़ी तेज_ch-9,69786,e753a9e65821ad79042b899b9224a433,09a06488a783b9b42ce22a8cd827cf3a44432013,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/e753a9e65821ad79042b899b9224a433.jpg,JPG,"248,245,238"
1322,image/jpg,,,सोना की नाक बड़ी तेज_ch-10,85932,5d82dae3bcf293d042d70f00142223b9,2fe35997aae608b936ec3c263adfed53801b7fd6,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/5d82dae3bcf293d042d70f00142223b9.jpg,JPG,"237,234,227"
1323,image/jpg,,,सोना की नाक बड़ी तेज_ch-11,76450,ba282be13a9aa5c5ff5a8cdd2d9de96c,e001403711b9f0126f773cfa16cee868f0f33923,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/ba282be13a9aa5c5ff5a8cdd2d9de96c.jpg,JPG,"70,142,116"
1324,image/jpg,,,सोना की नाक बड़ी तेज_ch-12,70728,2dad12541dc7b75400354ec6260294ed,0e077413b27aa4729f9a80a93cac655b360de427,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/2dad12541dc7b75400354ec6260294ed.jpg,JPG,"248,244,237"
