id,text,letter_sound_correspondences,usage_count,word_type,spelling_consistency,root_word_id,root_word_text
22,ขนาด,"[{""sounds"":[""kʰ"",""a""],""id"":39,""letters"":[""ข""],""usageCount"":0},{""sounds"":[""n""],""id"":7,""letters"":[""น""],""usageCount"":395},{""sounds"":[""aː""],""id"":13,""letters"":[""◌า""],""usageCount"":315},{""sounds"":[""d""],""id"":5,""letters"":[""ด""],""usageCount"":46}]",0,NOUN,,,
23,ดาว,"[{""sounds"":[""d""],""id"":5,""letters"":[""ด""],""usageCount"":46},{""sounds"":[""aː""],""id"":13,""letters"":[""◌า""],""usageCount"":315},{""sounds"":[""w""],""id"":18,""letters"":[""ว""],""usageCount"":94}]",0,NOUN,,,
24,ไข่,"[{""sounds"":[""kʰ""],""id"":41,""letters"":[""ข"",""◌่""],""usageCount"":8},{""sounds"":[""a"",""j""],""id"":40,""letters"":[""ไ◌""],""usageCount"":98}]",8,NOUN,,,
25,ทราบ,"[{""sounds"":[""s""],""id"":42,""letters"":[""ท"",""ร""],""usageCount"":0},{""sounds"":[""aː""],""id"":13,""letters"":[""◌า""],""usageCount"":315},{""sounds"":[""p""],""id"":2,""letters"":[""บ""],""usageCount"":59}]",0,VERB,,,
26,ปู,"[{""sounds"":[""p""],""id"":8,""letters"":[""ป""],""usageCount"":90},{""sounds"":[""uː""],""id"":17,""letters"":[""◌ู""],""usageCount"":56}]",0,NOUN,,,
27,ยา,"[{""sounds"":[""y""],""id"":14,""letters"":[""ย""],""usageCount"":45},{""sounds"":[""aː""],""id"":13,""letters"":[""◌า""],""usageCount"":315}]",1,NOUN,,,
28,คิด,"[{""sounds"":[""kʰ""],""id"":25,""letters"":[""ค""],""usageCount"":32},{""sounds"":[""i""],""id"":23,""letters"":[""◌ิ""],""usageCount"":22},{""sounds"":[""d""],""id"":5,""letters"":[""ด""],""usageCount"":46}]",4,VERB,,,
29,นอน,"[{""sounds"":[""n""],""id"":7,""letters"":[""น""],""usageCount"":395},{""sounds"":[""ɔː""],""id"":31,""letters"":[""◌อ""],""usageCount"":181},{""sounds"":[""n""],""id"":7,""letters"":[""น""],""usageCount"":395}]",2,VERB,,,
30,ไป,"[{""sounds"":[""p""],""id"":8,""letters"":[""ป""],""usageCount"":90},{""sounds"":[""a"",""j""],""id"":40,""letters"":[""ไ◌""],""usageCount"":98}]",90,VERB,,,
31,ยาก,"[{""sounds"":[""y""],""id"":14,""letters"":[""ย""],""usageCount"":45},{""sounds"":[""aː""],""id"":13,""letters"":[""◌า""],""usageCount"":315},{""sounds"":[""k""],""id"":3,""letters"":[""ก""],""usageCount"":250}]",1,ADJECTIVE,,,
32,นาที,"[{""sounds"":[""n""],""id"":7,""letters"":[""น""],""usageCount"":395},{""sounds"":[""aː""],""id"":13,""letters"":[""◌า""],""usageCount"":315},{""sounds"":[""tʰ""],""id"":43,""letters"":[""ท""],""usageCount"":22},{""sounds"":[""iː""],""id"":16,""letters"":[""◌ี""],""usageCount"":70}]",0,NOUN,,,
33,สอง,"[{""sounds"":[""s""],""id"":36,""letters"":[""ศ""],""usageCount"":10},{""sounds"":[""ɔː""],""id"":31,""letters"":[""◌อ""],""usageCount"":181},{""sounds"":[""ŋ""],""id"":4,""letters"":[""ง""],""usageCount"":227}]",10,NUMBER,,,
34,ของ,"[{""sounds"":[""kʰ""],""id"":38,""letters"":[""ข""],""usageCount"":149},{""sounds"":[""ɔː""],""id"":31,""letters"":[""◌อ""],""usageCount"":181},{""sounds"":[""ŋ""],""id"":4,""letters"":[""ง""],""usageCount"":227}]",146,PREPOSITION,,,
